step,action,confidence,q_hold,q_buy,q_sell
0,1,1.0292904451489449,21111.059,21370.152,21150.191
1,1,0.10484784143045545,21532.074,21554.674,21524.059
2,1,0.20533225033432245,21619.148,21663.63,21611.13
3,1,0.3585696220397949,21662.572,21752.553,21674.555
4,1,0.35888245329260826,21652.307,21733.592,21655.594
5,1,0.29559622053056955,21804.295,21894.309,21829.59
6,1,0.31568247359246016,21916.062,22010.844,21941.36
7,1,0.4090698901563883,21862.531,21977.734,21887.83
8,1,0.43651419691741467,22000.258,22117.246,22020.701
9,1,0.5619519390165806,21801.203,22074.98,21950.93
10,1,0.5206930451095104,21924.543,22125.334,22010.129
11,1,0.10833445703610778,21862.41,21942.682,21918.91
12,1,0.013503964873962104,21952.559,21969.82,21966.854
13,0,0.0379344419343397,21917.953,21909.639,21905.383
14,0,0.0,21850.766,21850.766,21850.766
15,0,0.0,21850.766,21850.766,21850.766
16,0,0.0,21850.766,21850.766,21850.766
17,2,0.13633249327540398,21380.795,21388.453,21417.652
18,0,0.24039950221776962,21335.74,21243.693,21284.45
19,0,0.1307714032009244,21124.648,21052.209,21097.023
20,0,0.12324061244726181,21155.58,21084.67,21129.508
21,0,0.13085565296933055,21111.049,21038.605,21083.424
22,0,0.13061068020761013,21159.617,21087.164,21131.98
23,0,0.0627984874881804,21242.3,21195.416,21228.96
24,0,0.06081987521611154,21246.139,21199.71,21233.217
25,0,0.13103459496051073,21146.312,21073.785,21118.604
26,0,0.12005561729893088,20903.398,20852.615,20878.303
27,0,0.14243139885365963,20896.848,20841.393,20867.084
28,0,0.1135981292463839,20853.734,20802.996,20830.045
29,0,0.06025424227118492,20807.016,20794.479,20783.562
30,1,0.007381523755611852,20795.746,20797.281,20786.365
31,0,0.044519887887872756,20864.973,20855.467,20855.684
32,0,0.19382245372980833,21039.512,20950.996,20998.732
33,0,0.18346932483837008,20909.916,20871.338,20871.553
34,0,0.06862495210953057,21075.266,21043.152,21060.803
35,0,0.08129710331559181,21160.809,21098.557,21143.605
36,0,0.06849345518276095,21195.57,21146.965,21181.053
37,0,0.06802222924306989,21218.938,21170.736,21204.504
38,0,0.06802960997447371,21219.506,21171.312,21205.07
39,0,0.06080918246880174,21253.086,21207.473,21240.162
40,0,0.06068723741918802,21286.137,21243.195,21273.219
41,0,0.13244174188002944,21309.488,21251.242,21281.266
42,0,0.0607823661994189,21265.676,21221.535,21252.75
43,0,0.13685220619663596,21450.49,21359.305,21421.135
44,0,0.13697243994101882,21433.086,21345.793,21403.729
45,0,0.1369741396047175,21431.395,21344.484,21402.04
46,0,0.10671148775145411,21350.281,21270.938,21327.498
47,0,0.10661013657227159,21372.41,21283.486,21349.625
48,2,0.03852732479572296,21511.541,21457.547,21519.832
49,0,0.11832501040771604,21283.406,21217.799,21258.223
50,0,0.11772859143093228,21295.008,21229.518,21269.938
51,0,0.1179571496322751,21247.123,21178.66,21222.06
52,0,0.16043955693021417,21351.256,21270.625,21317.0
53,0,0.16226305160671473,21361.678,21280.268,21327.016
54,0,0.5228552501648664,21685.316,21508.184,21571.934
55,0,0.2881184918805957,21765.676,21498.355,21702.965
56,0,0.15653787413612008,21783.615,21658.977,21749.516
57,0,0.0402124656829983,21764.28,21637.35,21755.527
58,0,0.4554149229079485,21698.533,21501.762,21599.715
59,0,0.0,21850.766,21732.719,21850.766
60,2,0.02112990914611146,21745.158,21488.53,21749.754
61,0,0.0,21850.766,21709.164,21850.766
62,2,0.3269427688792348,21850.766,21577.129,21922.44
63,1,0.04201676056254655,21901.53,21922.055,21912.844
64,1,0.058979191817343235,21926.459,21948.95,21936.004
65,1,0.19143460085615516,21850.766,21892.676,21850.766
66,1,0.13476015301421285,21850.766,21940.021,21910.455
67,0,0.04553594044409692,21922.072,21912.09,21902.438
68,1,0.04287392075639218,21903.725,21921.105,21911.707
69,0,0.3144335001707077,21948.574,21565.838,21879.56
70,0,0.6386753637343645,21709.973,21495.234,21571.316
71,0,0.18068940844386816,21538.6,21393.799,21499.682
72,0,0.08957084501162171,21377.98,21253.205,21358.832
73,0,0.13936946634203196,21297.09,21191.727,21267.408
74,0,0.18128890078514814,21467.375,21335.074,21428.457
75,0,0.1815727213397622,21431.668,21320.357,21392.754
76,0,0.181242311373353,21462.117,21346.389,21423.219
77,0,0.1528024091385305,21376.668,21229.58,21344.004
78,0,0.13061949284747243,21147.723,21104.244,21120.1
79,0,0.1305038225837052,21164.969,21106.266,21137.348
80,0,0.03602050128392875,21108.855,21066.842,21101.252
81,0,0.03820953133981675,21054.752,21024.29,21046.707
82,0,0.0769862555898726,21059.46,21009.168,21043.248
83,0,0.03955528081860393,21034.645,21026.324,21018.965
84,0,0.0008556216926081106,21000.812,21000.633,20985.137
85,0,0.15859882114455104,21084.3,21002.377,21050.861
86,1,0.003791800554608926,21003.164,21015.742,21014.945
87,1,0.02208844671258703,20986.965,20991.602,20976.21
88,2,0.015939056174829602,20978.016,20999.504,21002.852
89,0,0.0014873048712615855,21011.16,20996.29,21010.848
90,0,0.0014991665921115782,20975.195,20960.324,20974.88
91,0,0.001506758690084098,20999.133,20984.262,20998.816
92,0,0.0015069646906340495,20996.262,20981.389,20995.945
93,2,0.014081111294217408,21024.766,21010.082,21027.727
94,0,0.0014961189663154073,21017.922,21003.05,21017.607
95,2,0.028492807177826762,21010.83,21002.387,21016.818
96,2,0.012189318658784032,21004.91,21019.941,21022.504
97,2,0.028447346994653344,21037.55,21029.291,21043.537
98,2,0.015177826571743935,21032.953,21036.441,21039.635
99,2,0.008809736755210906,21031.398,21037.545,21039.398
100,2,0.02247764350613579,21030.541,21031.799,21036.527
101,2,0.01517676719231531,21010.678,21025.043,21028.234
102,2,0.021850499615538865,21063.637,21050.594,21068.24
103,2,0.021867280884180218,21056.398,21043.355,21061.004
104,0,0.0015142284610192291,21024.527,21009.654,21024.209
105,0,0.0014968684808991384,21007.398,20992.527,21007.084
106,0,0.0014981154890847392,20989.912,20975.043,20989.598
107,0,0.001510423589934362,20948.18,20933.309,20947.863
108,0,0.001495123069616966,20901.29,20886.42,20900.977
109,0,0.0014960748558223713,20887.992,20873.123,20887.68
110,0,0.001515700660092989,20875.246,20860.371,20874.93
111,0,0.0014990646377555095,20846.332,20831.463,20846.02
112,0,0.04794378182850778,20886.28,20850.578,20876.266
113,0,0.05572906229645014,20887.89,20850.56,20876.25
114,0,0.19010204123333097,21025.92,20912.896,20985.95
115,0,0.18757793586701155,21029.8,20917.305,20990.354
116,0,0.2142792334780097,20950.504,20878.223,20905.611
117,0,0.2138736890628934,20989.316,20885.047,20944.426
118,0,0.09370308835059404,21060.54,21015.826,21040.805
119,0,0.08351064170710742,21039.61,20952.273,21022.04
120,0,0.03616578760556877,21040.258,20975.629,21032.648
121,0,0.05963288131169975,21043.47,20989.541,21030.922
122,0,0.13019884936511517,21096.037,21023.756,21068.57
123,0,0.06886862101964653,21131.154,21082.93,21116.602
124,0,0.06915887352079153,21146.96,21098.58,21132.336
125,0,0.06926817004568875,21153.068,21104.613,21138.416
126,0,0.06909305229783058,21144.492,21096.143,21129.883
127,0,0.06913575925864279,21145.557,21097.191,21130.938
128,0,0.06921023014001548,21179.244,21126.412,21164.586
129,0,0.13269464252516627,21177.617,21104.688,21149.516
130,0,0.13090248685330153,21100.512,21043.0,21072.89
131,0,0.19157942151650786,21028.934,20915.594,20988.646
132,0,0.213746284134686,21001.828,20904.156,20956.938
133,0,0.21403743885457516,20973.258,20917.715,20928.367
134,0,0.21256750915199518,21021.814,20919.11,20977.129
135,0,0.003963750350521877,20941.736,20940.906,20930.771
136,2,0.0063598221458960325,20973.85,20960.629,20975.184
137,0,0.0015078856449690647,20983.438,20968.562,20983.121
138,2,0.04907443071715534,20956.791,20967.885,20978.18
139,2,0.05791457952000201,20957.586,20955.178,20969.73
140,2,0.04553025937639177,20934.783,20950.076,20959.62
141,0,0.0015091659406607505,20965.637,20950.766,20965.32
142,2,0.04068036796525121,20956.85,20972.484,20981.02
143,0,0.161741953343153,21058.572,20975.643,21024.512
144,0,0.036027401802130044,21115.654,21083.568,21108.047
145,0,0.14570077182725072,21194.713,21119.02,21163.832
146,2,0.007527631532866508,21507.678,21466.877,21509.297
147,2,0.10611871257424355,21604.877,21576.445,21627.828
148,0,0.05877921939827502,21578.363,21481.172,21565.68
149,2,0.05706167430616915,21931.252,21631.293,21943.773
150,2,0.04703413869719952,21927.703,21739.791,21938.021
151,1,0.05700559704564512,21930.508,21955.082,21942.566
152,0,0.08486916194669902,21968.559,21948.676,21949.914
153,0,0.05417021457105875,21972.12,21947.707,21960.217
154,1,0.03672053862828761,21917.166,21935.102,21927.047
155,0,0.7942846976220608,21928.14,21529.426,21753.969
156,0,0.5310938693583012,21919.678,21547.66,21803.264
157,0,0.7057984825223684,21754.229,21491.158,21600.688
158,0,0.12396159581840038,21557.205,21424.56,21530.482
159,0,0.18095499835908413,21504.828,21386.662,21465.914
160,0,0.16464119544252753,21395.959,21279.51,21360.732
161,0,0.06660454091615975,21198.465,21114.834,21184.346
162,0,0.02796646731439978,21063.172,21047.127,21057.281
163,0,0.017562411085236818,21118.879,21068.39,21115.17
164,0,0.026851744041778147,21268.404,21153.809,21262.693
165,0,0.11381700169295073,21297.55,21212.246,21273.31
166,2,0.01846176019171253,21271.045,21169.092,21274.973
167,0,0.016421577311120927,21277.74,21219.719,21274.246
168,0,0.017614077660255134,21356.32,21288.477,21352.559
169,0,0.017550011398270726,21434.281,21360.025,21430.52
170,0,0.01754395925672725,21441.676,21377.578,21437.914
171,0,0.039795064367353916,21487.04,21427.8,21478.488
172,2,0.03094506391789764,21515.855,21445.945,21522.516
173,2,0.028318868135102093,21498.455,21419.209,21504.545
174,2,0.020531854534056038,21532.234,21446.578,21536.656
175,2,0.030964319012127817,21502.473,21425.205,21509.133
176,0,0.011412221647333354,21529.824,21441.895,21527.367
177,2,0.030854370561428368,21585.447,21503.621,21592.11
178,2,0.0015325922504416667,21664.352,21574.44,21664.684
179,2,0.030760990921407938,21657.34,21577.785,21664.004
180,0,0.011366893158992752,21615.68,21522.977,21613.223
181,0,0.011357552284607664,21633.457,21540.758,21631.0
182,0,0.011383614764781669,21635.4,21542.71,21632.938
183,0,0.011355774040566757,21636.846,21544.184,21634.389
184,0,0.011400386574678123,21569.307,21503.799,21566.848
185,0,0.01138046063715592,21555.586,21490.084,21553.133
186,0,0.011407786951167509,21589.557,21524.113,21587.094
187,0,0.011347459076205269,21583.852,21518.453,21581.402
188,0,0.01119300359277986,21602.502,21536.207,21600.084
189,0,0.011179104330949485,21542.004,21423.29,21539.596
190,0,0.011173981329193339,21324.65,21232.238,21322.268
191,0,0.01123911133618094,21235.832,21192.264,21233.445
192,0,0.011237635771976784,21221.24,21195.818,21218.855
193,2,0.02168973587686196,21201.787,21188.746,21206.387
194,2,0.021707671112380922,21193.262,21180.22,21197.863
195,0,0.011248260852880776,21218.559,21178.303,21216.172
196,0,0.011242667824262753,21246.486,21177.68,21244.098
197,0,0.011210193042643368,21273.19,21186.973,21270.805
198,0,0.011184505274286494,21304.586,21212.172,21302.203
199,0,0.01117099600378424,21400.285,21307.867,21397.895
200,2,0.02174637047573924,21155.54,21142.494,21160.14
201,2,0.021779481903649867,21150.266,21137.223,21154.873
202,2,0.02178796275984496,21115.145,21102.104,21119.746
203,2,0.021865258167963475,21058.346,21045.305,21062.951
204,2,0.021862551511731,21043.09,21030.047,21047.691
205,2,0.021862483117729425,21052.088,21039.05,21056.691
206,2,0.02847172727342695,21019.531,21017.188,21025.518
207,0,0.19536535255610943,21014.312,20971.418,20973.258
208,0,0.15123399207368493,21021.078,20985.72,20989.287
209,0,0.1348837511613965,21064.145,20998.484,21035.732
210,2,0.06093031261116266,21072.973,21071.438,21085.82
211,0,0.07193419733084738,21167.35,21073.863,21152.123
212,0,0.01854215224739164,21319.666,21272.145,21315.713
213,0,0.0175840817973949,21392.75,21310.164,21388.988
214,0,0.01766019850037992,21311.605,21251.223,21307.842
215,2,0.008665800851304084,21274.32,21208.121,21276.164
216,0,0.04995412309654057,21089.664,21067.363,21079.129
217,0,0.195252220146358,21036.492,20960.39,20995.418
218,0,0.0516813131980598,20963.059,20952.225,20932.746
219,0,0.0015095721209945623,20959.996,20945.121,20959.68
220,2,0.012244736717548221,20972.643,20960.652,20975.21
221,0,0.001507187062088633,20993.164,20978.293,20992.848
222,0,0.0015072360838530585,20992.48,20977.61,20992.164
223,0,0.0014879521586408373,21002.02,20987.152,21001.707
224,0,0.0015079056538525037,20983.16,20968.287,20982.844
225,0,0.001507985325588379,20982.05,20967.18,20981.734
226,2,0.02196653076680377,20970.129,20960.182,20974.736
227,2,0.06250701262615621,20962.66,20961.584,20975.771
228,0,0.07794099510647357,20971.895,20955.549,20932.574
